sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2024-25,2023-24,1,38,5,false,2501,1847,44,8,65.8157894736842,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,,55,5062709cbae7,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2025-26,2024-25,1,38,5,false,2277,1514,47,10,59.921052631578945,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,,55,cdb305de770a,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2020-21,2019-20,6,33,5,false,1958,1634,43,11,59.333333333333336,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,,55,347628e26f13,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2021-22,2020-21,6,33,5,false,2006,1513,44,12,60.78787878787879,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,0,0,0,0,,55,eb89dd66c059,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2022-23,2021-22,6,33,5,false,1917,1563,37,7,58.09090909090909,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,0,0,0,0,,55,1319d3d56d73,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2023-24,2022-23,6,33,5,false,2060,1662,33,3,62.42424242424242,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,,55,e4d98525659c,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2024-25,2023-24,6,33,5,false,2062,1762,43,10,62.484848484848484,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,,55,5f44285da178,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2025-26,2024-25,6,33,5,false,1936,1742,37,8,58.666666666666664,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,0,0,0,0,,55,0dc2d2b17e58,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2020-21,2019-20,11,28,5,false,1702,1389,38,11,60.785714285714285,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,0,0,0,0,,55,dac65f49e6c3,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2021-22,2020-21,11,28,5,false,1787,1604,32,5,63.82142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,0,0,0,0,,55,b9a408253035,decision:transfergate,decision
