sweep,run_id,key,value
ANCHORED#1,1787686781-1459534,constant,weights.rest_minutes_factor	0.83
ANCHORED#1,1787686781-1459534,constant,"weights.rest_players	17 items, sha 98db8aaa"
ANCHORED#1,1787686781-1459534,constant,weights.rest_regions	[] (empty)
ANCHORED#1,1787686781-1459534,constant,weights.set_piece_weight	0
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[0].matches	6
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[0].name	AFCON 2025 — Senegal (winners)
ANCHORED#1,1787686781-1459534,constant,"weights.tournament_absences[0].players	4 items, sha bd8f6665"
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[1].matches	6
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[1].name	AFCON 2025 — Nigeria (third place)
ANCHORED#1,1787686781-1459534,constant,"weights.tournament_absences[1].players	3 items, sha e65e3ff8"
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[2].matches	6
ANCHORED#1,1787686781-1459534,constant,"weights.tournament_absences[2].name	AFCON 2025 — Morocco (hosts, semi-finalists)"
ANCHORED#1,1787686781-1459534,constant,"weights.tournament_absences[2].players	4 items, sha a13bd6b5"
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[3].matches	6
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[3].name	AFCON 2025 — Egypt (semi-finalists)
ANCHORED#1,1787686781-1459534,constant,"weights.tournament_absences[3].players	1 items, sha b6bd732f"
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[4].matches	5
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[4].name	AFCON 2025 — Ivory Coast (quarter-finalists)
ANCHORED#1,1787686781-1459534,constant,"weights.tournament_absences[4].players	4 items, sha 9ed65187"
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[5].matches	3
ANCHORED#1,1787686781-1459534,constant,weights.tournament_absences[5].name	AFCON 2025 — group and last-16 exits
ANCHORED#1,1787686781-1459534,constant,"weights.tournament_absences[5].players	4 items, sha 52033c1b"
ANCHORED#1,1787686781-1459534,watched_digest,337fb32c58c3af1642beeebf7e3e553ad53dbfcd7d75ed2ae6b38af352cb0eff
ANCHORED#1,1787686781-1459534,watched_path,config.json	cd2a6f289eafd7b9ff596d3b69f76b958bbb942bfe160bc41ae651f6c2fef969
ANCHORED#1,1787686781-1459534,watched_path,internal/analysis	e9dffd516a6c7cb1952c753ef0aeb974a270477db0d93ce1e9dd8728e72b56c4
ANCHORED#1,1787686781-1459534,watched_path,internal/backtest	a08c5e61ca8ca79705e1c251a524fae6561880abd6fbfcf9a75f0b2210c862e1
ANCHORED#1,1787686781-1459534,watched_path,internal/config	2846530cefb082c49db5c8bacac24755323b510051531b649b401edfd7ef720e
