season,gw,team,xgc,clean_sheet,element
2020-21,12,2,1.1983787494270435,1,12
2020-21,12,4,1.3250461282578874,1,97
2020-21,12,5,0.892583063878219,0,110
2020-21,12,6,1.2856342781954888,0,128
2020-21,12,7,1.324498738489416,1,156
2020-21,12,8,1.4901393016614748,0,516
2020-21,12,9,1.2531053822714682,1,217
2020-21,12,10,1.5832825489424496,0,213
2020-21,12,11,1.1159371806154732,0,255
2020-21,12,12,0.9207032509135642,1,278
2020-21,12,13,1.139767456140351,1,298
2020-21,12,15,1.44764732132964,0,351
2020-21,12,16,1.288508864661654,1,363
2020-21,12,17,1.1647373861201678,0,383
2020-21,12,18,1.6983107594687654,0,417
2020-21,12,19,1.3586474606319767,0,431
2020-21,12,20,1.1242603462603875,0,455
2020-21,13,1,1.2715324582106453,0,8
2020-21,13,2,1.189996041125541,1,12
2020-21,13,3,1.173480951252709,1,74
2020-21,13,4,1.3449363320337882,1,97
2020-21,13,5,0.9046736394635758,0,110
2020-21,13,6,1.2865518142857144,0,128
2020-21,13,7,1.3044976515649451,1,156
2020-21,13,8,1.4938306711650924,1,516
2020-21,13,9,1.2268163631578948,0,217
2020-21,13,10,1.5803244876068376,0,213
2020-21,13,11,1.1407855715846995,0,255
2020-21,13,12,0.9008519745496923,0,278
2020-21,13,13,1.1430995373961221,0,298
2020-21,13,14,1.256366092217724,0,325
2020-21,13,15,1.480193205263158,0,351
2020-21,13,16,1.2341486714285712,0,363
2020-21,13,17,1.1912259668141592,0,383
2020-21,13,18,1.649134837606838,0,417
2020-21,13,19,1.362671187600378,0,431
2020-21,13,20,1.1263271789473683,0,455
2020-21,14,1,1.2596734840101385,0,8
2020-21,14,2,1.142680038961039,1,12
2020-21,14,4,1.3610643154320987,0,97
2020-21,14,5,0.890850157490397,1,110
2020-21,14,6,1.2449510136054422,0,128
2020-21,14,7,1.2790763348237575,0,156
2020-21,14,8,1.436290326377953,0,516
2020-21,14,9,1.2654919649122809,1,217
2020-21,14,10,1.5653398346456693,0,213
2020-21,14,11,1.1527896872235233,1,255
2020-21,14,12,0.8654671258222078,1,278
2020-21,14,13,1.142686960526316,0,298
2020-21,14,14,1.3261420763779528,0,325
